Study	langpair	Section
\citet{song2023letz}	lb-en de-en en-de en-lb	LRMT
\citet{enis2024llm}	en-yor yor-en	LRMT
\citet{dabre-fujita-2020-combining} \\	vi-en hi-en en-vi en-hi	LRMT
\citet{diddee-etal-2022-brittle} \\	bzd-es hch-es unr-hin gon-hin asm-eng ori-eng pan-eng guj-eng	LRMT
\citet{gumma2023empirical} \\		LRMT
\citet{zeng-etal-2019-iterative} \\	zh-en de-en en-zh en-de	Domain
\citet{mghabbar2020building} \\	fr-en en-fr	Domain
\citet{liu2022neural}  \\	en-zh zh-en	Domain
\citet{gu-etal-2021-pruning} \\	zh-en fr-en de-en en-zh en-fr en-de	Domain
\citet{gordon-duh-2020-distill} \\	de-en ru-en zh-en en-de en-ru en-zh	Domain
\citet{currey-etal-2020-distilling} \\	de-en fr-en en-de en-fr	Domain
\citet{wei-etal-2019-online} \\	en-zh en-vi en-tr zh-en vi-en tr-en	Domain
\citet{zhao2022life} 	en-it en-nl en-ro uig-zh tib-zh mon-zh zh-en ja-en de-en fi-en lv-en tr-en	Domain
\citet{zhang-etal-2023-continual} \\	zh-en en-zh	Domain
\citet{wang-etal-2023-better}  \\	de-en zh-en en-vi	Temporal
\citet{deng2022improving} \\	en-zh  en-ja 	Temporal
\citet{sen-etal-2023-self} \\	en-de en-cs 	Temporal
\citet{zhang2019future} \\	zh-en en-de	Temporal
\citet{feng-etal-2021-guiding} \\	zh-en en-ro zh-en en-de	Temporal
\citet{zhou-etal-2022-confidence} \\	en-de zh-en en-fr	Temporal
\citet{zhuang-tu-2023-pretrained}\\	en-fr en-tr en-es en-ro en-fi en-kk en-tr en-et en-fi en-lv en-cs en-de en-fr en-nl en-pt en-pl ar-zh ar-nl ar-fr ar-de ar-ru zh-ar zh-nl zh-fr zh-de zh-ru nl-ar nl-zh nl-fr nl-de nl-ru fr-ar fr-zh fr-nl fr-de fr-ru de-ar de-zh de-nl de-fr de-ru ru-ar ru-zh ru-nl ru-fr ru-de en-fr en-tr en-es en-ro en-fi en-kk en-tr en-et en-fi en-lv en-cs en-de en-fr en-nl en-pt en-pl	Temporal
\cite{shao2022one} \\	de-en ro-en fr-en en-de en-ro en-fr	Temporal
\cite{guo2021self}\\	en-de en-ro de-en ro-en	Temporal
\cite{liu2023selective} \\	en-de en-ro de-en ro-en	Temporal
\cite{zhou2020improving}\\	en-de en-ro de-en ro-en	Temporal
\citet{zhouunderstanding} \\	en-de en-fr en-es de-en fr-en es-en	Temporal
\citet{gordon2019explaining}\\	en-de de-en	Temporal
\citet{ren-etal-2020-study}\\	en-de de-en	Temporal
\citet{ding2021rejuvenating}\\	en-de en-ro en-zh en-ja de-en ro-en zh-en ja-en	Temporal
\citet{ding2021understanding} \\	en-de en-ro en-zh en-ja de-en ro-en zh-en ja-en	Temporal
\citet{xu2021does}\\	en-de de-en	Temporal
\citet{kim-rush-2016-sequence}	en-de th-en	Methods
\citet{wang-etal-2021-selective}	en-de zh-en 	Methods
\citet{lee-etal-2022-hard}	de-en en-vi	Methods
\citet{{zhang-etal-2023-towards-understanding}	en-de en-fr en-ro	Methods
\citet{miao-etal-2023-exploring}	de-en en-ro en-de	Methods
\citet{Freitag2017EnsembleDF}	de-en	Methods
\citet{zhang-etal-2018-analyzing}	en-de	Methods
\citet{9722996}	en-de de-en en-es es-en en-fr fr-en en-zh zh-en	Methods
\citet{li2020learninglightweighttranslationmodels}	en-de zh-en 	Methods
\citet{lin-etal-2020-autoregressive}	en-de de-en	Methods
\citet{yoon2023emnetworkoracleguidedselfdistillation}	en-de de-en	Methods
\citet{setiawan-2024-accurate}	en-de de-en en-zh zh-en	Methods
\citet{wen-etal-2023-f}	en-ro	Methods
\citet{agarwal2024onpolicydistillationlanguagemodels}	en-de	Methods
